Program ,state,comp,util,region,season,sm,em,dow,min_days,max_events,max_days,min_dur,max_dur,start_time,end_time,events_daily,max_consec,max_hours,notif_type,notif_time,notif_delt,base_method,hist_pres,pay_function,elig
"Interruptible Service Option Credit 40hr (unconstrained, winter) (Colorado)",CO,Xcel Energy,,west,winter ,10,5,weekdays,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40,day_of,n/a,0.167,Median maximum hourly demands daily from noon to 8pm on weekdays of June 1st through September 30th the previous year ,yes,"Billing credit rate differs between season, constrained vs. unconstrained, and secondary vs. primary vs. transimssion (not sure what that means) ",Must have at least 300 kW of interruptible demand 
"Interruptible Service Option Credit 40hr (constrained, winter) (Colorado)",CO,Xcel Energy,,west,winter ,10,5,weekdays,n/a,n/a,n/a,n/a,4,n/a,n/a,1,n/a,40,day_of,n/a,0.167,Median maximum hourly demands daily from noon to 8pm on weekdays of June 1st through September 30th the previous year ,yes,"Billing credit rate differs between season, constrained vs. unconstrained, and secondary vs. primary vs. transimssion (not sure what that means) ",Must have at least 300 kW of interruptible demand 
"Interruptible Service Option Credit 80hr (unconstrained, winter) (Colorado)",CO,Xcel Energy,,west,winter ,10,5,weekdays,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80,day_of,n/a,0.167,Median maximum hourly demands daily from noon to 8pm on weekdays of June 1st through September 30th the previous year ,yes,"Billing credit rate differs between season, constrained vs. unconstrained, and secondary vs. primary vs. transimssion (not sure what that means) ",Must have at least 300 kW of interruptible demand 
"Interruptible Service Option Credit 80hr (constrained, winter) (Colorado)",CO,Xcel Energy,,west,winter ,10,5,weekdays,n/a,n/a,n/a,n/a,4,n/a,n/a,1,n/a,80,day_of,n/a,0.167,Median maximum hourly demands daily from noon to 8pm on weekdays of June 1st through September 30th the previous year ,yes,"Billing credit rate differs between season, constrained vs. unconstrained, and secondary vs. primary vs. transimssion (not sure what that means) ",Must have at least 300 kW of interruptible demand 
"Interruptible Service Option Credit 160hr (unconstrained, winter) (Colorado)",CO,Xcel Energy,,west,winter ,10,5,weekdays,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,160,day_of,n/a,0.167,Median maximum hourly demands daily from noon to 8pm on weekdays of June 1st through September 30th the previous year ,yes,"Billing credit rate differs between season, constrained vs. unconstrained, and secondary vs. primary vs. transimssion (not sure what that means) ",Must have at least 300 kW of interruptible demand 
"Interruptible Service Option Credit 160hr (constrained, winter) (Colorado)",CO,Xcel Energy,,west,winter ,10,5,weekdays,n/a,n/a,n/a,n/a,4,n/a,n/a,1,n/a,160,day_of,n/a,0.167,Median maximum hourly demands daily from noon to 8pm on weekdays of June 1st through September 30th the previous year ,yes,"Billing credit rate differs between season, constrained vs. unconstrained, and secondary vs. primary vs. transimssion (not sure what that means) ",Must have at least 300 kW of interruptible demand 
Peak Partner Rewards (Colorado),CO,Xcel Energy,,west ,summer ,6,9,weekdays,n/a,15,n/a,n/a,4,12,20,1,n/a,60,day_of,n/a,1,"Average of the measured demand during 15 minutes of the last 5 highest energy consumption days within the last 10 non-holiday, non-weekend, non-event days. ",n/a,Reservation incentive calculated by multiplying monthly load reduction obligation by reservation incentive kilowatt rate. Also performance incentivethat can be received if the customer exceeds theit load reduction obligation. Both are billing credits. ,Must have at least 25 kW of interruptible demand each month between June and September 
Peak Day Partners (Colorado),CO,Xcel Energy,,west,year_round,1,12,any ,n/a,n/a,n/a,1,6,n/a,n/a,n/a,n/a,n/a,day_of,n/a,1,"Average of the measured demand during 15 minutes of the last 5 highest energy consumption days within the last 10 non-holiday, non-weekend, non-event days. ",n/a,Performance incentive billing credit based on each hour of load reduction ,Must be able to reduce demand by at least 500 kW
Fast Demand Response(40) (Hawaii),HI,Hawaiian Electric,,west,year_round,1,12,weekdays,n/a,40,n/a,n/a,1,7,21,n/a,n/a,n/a,day_of,n/a,0.167,Average usage  over 10 days within 5 minute intervals,,"$5.00 per kW based on nominated load and $0.50 per kW load reduced. Both are billing credits. Nominated load shifted for poor performance, which could lead to a loss in incentive money. ",Must have demand of at least 200 kW and reduce at least 50 kW of load
Fast Demand Response (80) (Hawaii),HI,Hawaiian Electric,,west,year_round,1,12,weekdays,n/a,80,n/a,n/a,1,7,21,n/a,n/a,n/a,day_of,n/a,0.167,Average usage  over 10 days within 5 minute intervals,,"$10.00 per kW based on nominated load and $0.50 per kW load reduced. Both are billing credits. Nominated load shifted for poor performance, which could lead to a loss in incentive money. ",Must have demand of at least 200 kW and reduce at least 50 kW of load
