Program ,state,comp,util,region,season,sm,em,dow,min_days,max_events,max_days,min_dur,max_dur,start_time,end_time,events_daily,max_consec,max_hours,notif_type,notif_time,notif_delt,base_method,hist_pres,pay_function,elig
PowerShare Quote Option (North Carolina),,Duke Energy,,southeast ,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,day_of,n/a,n/a,Average load during exposure periods for past days…? ,n/a,"Market price-based incentive for load reduced hourly, no penalty",Must be able to curtail at least 100kW of load
Capacity Performance Program (Ohio) ,,PJM,,midwest,year_round,1,12,any ,n/a,10,n/a,n/a,6,n/a,n/a,n/a,n/a,n/a,day_ahead,n/a,1,,yes…,"Payment for load reduction (based on the 2023-2024 year) range from $12,000 per MW. Participants can also receive energy payments, and there are ""substantial"" penalties for not reducing load. ",Must reside in PJM jusrisdiction 
Peak Performers Program (Oklahoma) ,,Public Service Company of Oklahoma ,,southeast ,summer,6,9,weekdays,n/a,16,n/a,2,4,13,19,n/a,n/a,n/a,day_of,n/a,2,"I guess the company calculates the ""typical usage"" (not sure though) ",n/a,"One time payment (per year) of $32 per kW for ""average peak savings"" and a 5% bonus if all events were participated in. ",Businesses of all sizes are eligible 
Large Load Curtailable Rider Summer (On Peak) (South Carolina) ,,Duke Energy,,southeast ,summer,5,9,weekdays,n/a,n/a,n/a,n/a,8,18,21,n/a,n/a,400,day_of,n/a,0.5,Reducing the load to a firm demand level during events,n/a,"Credits of $4.90 per kW of demonstrated curtailable demand and "" Variable Environmental & PURPA Capacity & DERP Avoided Capacity credit"" of $1.70 per kW curtailable demand. Penalty for using premium demand during a level 1 curtailment event is $2.40 per kWh and for a level 2 curtailment event is $40.00 per kW",Must be able to curtail at least 1000 kW of load
Large Load Curtailable Rider Summer (Discount Period) (South Carolina) ,,Duke Energy,,southeast ,summer,5,9,any ,n/a,n/a,n/a,n/a,8,1,6,n/a,n/a,400,day_of,n/a,0.5,Reducing the load to a firm demand level during events,n/a,"Credits of $4.90 per kW of demonstrated curtailable demand and "" Variable Environmental & PURPA Capacity & DERP Avoided Capacity credit"" of $1.70 per kW curtailable demand. Penalty for using premium demand during a level 1 curtailment event is $2.40 per kWh and for a level 2 curtailment event is $40.00 per kW",Must be able to curtail at least 1000 kW of load
Large Load Curtailable Rider Non Summer (On Peak) (South Carolina) ,,Duke Energy,,southeast ,non_summer,10,4,weekdays,n/a,n/a,n/a,n/a,8,1,6,n/a,n/a,400,day_of,n/a,0.5,Reducing the load to a firm demand level during events,n/a,"Credits of $4.90 per kW of demonstrated curtailable demand and "" Variable Environmental & PURPA Capacity & DERP Avoided Capacity credit"" of $1.70 per kW curtailable demand. Penalty for using premium demand during a level 1 curtailment event is $2.40 per kWh and for a level 2 curtailment event is $40.00 per kW",Must be able to curtail at least 1000 kW of load
"Large Load Curtailable Rider Non Summer (Discount Period, morning ) (South Carolina) ",,Duke Energy,,southeast ,non_summer,10,4,any ,n/a,n/a,n/a,n/a,8,1,3,n/a,n/a,400,day_of,n/a,0.5,Reducing the load to a firm demand level during events,n/a,"Credits of $4.90 per kW of demonstrated curtailable demand and "" Variable Environmental & PURPA Capacity & DERP Avoided Capacity credit"" of $1.70 per kW curtailable demand. Penalty for using premium demand during a level 1 curtailment event is $2.40 per kWh and for a level 2 curtailment event is $40.00 per kW",Must be able to curtail at least 1000 kW of load
"Large Load Curtailable Rider Non Summer (Discount Period, afternoon ) (South Carolina) ",,Duke Energy,,southeast ,non_summer,10,4,any ,n/a,n/a,n/a,n/a,8,11,16,n/a,n/a,400,day_of,n/a,0.5,Reducing the load to a firm demand level during events,n/a,"Credits of $4.90 per kW of demonstrated curtailable demand and "" Variable Environmental & PURPA Capacity & DERP Avoided Capacity credit"" of $1.70 per kW curtailable demand. Penalty for using premium demand during a level 1 curtailment event is $2.40 per kWh and for a level 2 curtailment event is $40.00 per kW",Must be able to curtail at least 1000 kW of load
Peak Shaving and Emergency Demand Response Rider (summer) (Tennessee),,Appalachian Power ,,southeast ,summer,5,9,weekdays,n/a,10,n/a,n/a,6,12,20,n/a,n/a,n/a,day_of,n/a,1.5,Baseline calculated from hourly demands from the highest 4 of the 5 most recent similar weekdays ,n/a,"Curtailment energy credit of 90% of AEP East Load Zone hourly Real-Time LMP per curtailment hour. Curtailment demand credit of either the 4 year average PJM RPM Limited Base DR Base Residual Auction Clearing price (calculated with the previous, current, and next 2 delivery years) or 70% of RPM Net CONE for the current delivery year (both in $ per kW-month). Whichever is higher. Also monthly demand and event credits. Penalty for non-compliance is an annual non-compliance charge of avergae non-compliance demand x 110% of the curtailment demand credits x 12. ",Must be able to curtail 250kW. 
Peak Shaving and Emergency Demand Response Rider (non summer) (Tennessee),,Appalachian Power ,,southeast ,non_summer,10,4,weekdays,n/a,10,n/a,n/a,6,14,22,n/a,n/a,n/a,day_of,n/a,1.5,Baseline calculated from hourly demands from the highest 4 of the 5 most recent similar weekdays ,n/a,"Curtailment energy credit of 90% of AEP East Load Zone hourly Real-Time LMP per curtailment hour. Curtailment demand credit of either the 4 year average PJM RPM Limited Base DR Base Residual Auction Clearing price (calculated with the previous, current, and next 2 delivery years) or 70% of RPM Net CONE for the current delivery year (both in $ per kW-month). Whichever is higher. Also monthly demand and event credits. Penalty for non-compliance is an annual non-compliance charge of avergae non-compliance demand x 110% of the curtailment demand credits x 12. ",Must be able to curtail 250kW. 
Commercial and Industrial Interruptible Rider Emergency Summer(Wisconsin) ,,Wisconsin Public Service Corporation,,midwest ,summer,,,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,600,day_of,n/a,1,Reduce load to firm nomination level ,n/a,Billing credit of $8.039 per kW of max interruptible demand. Penalty for non-compliance is highest demand during non-complicance x annual credits x 110% or additianal power costs to company (whichever is higher) ,Must have a minimum of 200kW interruptible demand 
Commercial and Industrial Interruptible Rider Emergency Winter (Wisconsin) ,,Wisconsin Public Service Corporation,,midwest ,winter,,,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,600,day_of,n/a,1,Reduce load to firm nomination level ,n/a,Billing credit of $4.020 per kW of max interruptible demand. Penalty for non-compliance is highest demand during non-complicance x annual credits x 110% or additianal power costs to company (whichever is higher) ,Must have a minimum of 200kW interruptible demand 
